strategy,model,feature_set,fold,n_train,n_test,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
loso,rf,all,A25,142,3,1.0,,0.0,0.0,0.0,
loso,rf,all,A27,142,3,1.0,1.0,1.0,1.0,1.0,1.0
loso,rf,all,A28,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,0.0
loso,rf,all,A30,142,3,0.0,,0.0,0.0,0.0,
loso,rf,all,B01,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
loso,rf,all,B02,141,4,1.0,,1.0,1.0,1.0,
loso,rf,all,B03,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,1.0
loso,rf,all,B06,141,4,1.0,,1.0,1.0,1.0,
loso,rf,all,B07,141,4,1.0,,1.0,1.0,1.0,
loso,rf,all,B08,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.75
loso,rf,all,B09,141,4,1.0,1.0,1.0,1.0,1.0,1.0
loso,rf,all,B10,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,0.3333333333333333
loso,rf,all,B12,141,4,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
loso,rf,all,B13,141,4,0.5,0.6666666666666666,0.3333333333333333,1.0,0.5,1.0
loso,rf,all,B14,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
loso,rf,all,B15,141,4,1.0,,1.0,1.0,1.0,
loso,rf,all,B16,141,4,0.25,,1.0,0.25,0.4,
loso,rf,all,B17,141,4,0.0,,0.0,0.0,0.0,
loso,rf,all,B18,142,3,1.0,,1.0,1.0,1.0,
loso,rf,all,B19,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,1.0
loso,rf,all,B20,141,4,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
loso,svm,all,A01,142,3,0.6666666666666666,,0.0,0.0,0.0,
loso,svm,all,A03,142,3,1.0,,0.0,0.0,0.0,
loso,svm,all,A04,142,3,0.0,0.0,0.0,0.0,0.0,0.0
loso,svm,all,A05,142,3,1.0,,0.0,0.0,0.0,
loso,svm,all,A06,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,1.0
loso,svm,all,A07,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
loso,svm,all,A08,142,3,1.0,,0.0,0.0,0.0,
loso,svm,all,A09,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
loso,svm,all,A10,142,3,1.0,,0.0,0.0,0.0,
loso,svm,all,A11,142,3,1.0,,0.0,0.0,0.0,
loso,svm,all,A12,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,1.0
loso,svm,all,A13,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,1.0
loso,svm,all,A14,142,3,1.0,,0.0,0.0,0.0,
loso,svm,all,A15,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.5
loso,svm,all,A16,142,3,0.3333333333333333,,0.0,0.0,0.0,
loso,svm,all,A17,142,3,0.6666666666666666,0.75,0.5,1.0,0.6666666666666666,1.0
loso,svm,all,A19,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,0.5
loso,svm,all,A20,142,3,0.3333333333333333,,1.0,0.3333333333333333,0.5,
loso,svm,all,A21,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,1.0
loso,svm,all,A22,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,1.0
loso,svm,all,A23,142,3,0.6666666666666666,,0.0,0.0,0.0,
loso,svm,all,A24,142,3,0.0,,0.0,0.0,0.0,
loso,svm,all,A25,142,3,1.0,,0.0,0.0,0.0,
loso,svm,all,A27,142,3,1.0,1.0,1.0,1.0,1.0,1.0
loso,svm,all,A28,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,0.0
loso,svm,all,A30,142,3,0.0,,0.0,0.0,0.0,
loso,svm,all,B01,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
loso,svm,all,B02,141,4,1.0,,1.0,1.0,1.0,
loso,svm,all,B03,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.5
loso,svm,all,B06,141,4,1.0,,1.0,1.0,1.0,
loso,svm,all,B07,141,4,1.0,,1.0,1.0,1.0,
loso,svm,all,B08,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.25
loso,svm,all,B09,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,1.0
loso,svm,all,B10,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,0.3333333333333333
loso,svm,all,B12,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,0.6666666666666666
loso,svm,all,B13,141,4,0.25,0.5,0.25,1.0,0.4,1.0
loso,svm,all,B14,141,4,0.5,0.5,0.5,1.0,0.6666666666666666,0.75
loso,svm,all,B15,141,4,1.0,,1.0,1.0,1.0,
loso,svm,all,B16,141,4,1.0,,1.0,1.0,1.0,
loso,svm,all,B17,141,4,0.0,,0.0,0.0,0.0,
loso,svm,all,B18,142,3,1.0,,1.0,1.0,1.0,
loso,svm,all,B19,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,0.3333333333333333
loso,svm,all,B20,141,4,0.75,0.5,0.75,1.0,0.8571428571428571,1.0
loso,knn,all,A01,142,3,1.0,,0.0,0.0,0.0,
loso,knn,all,A03,142,3,0.6666666666666666,,0.0,0.0,0.0,
loso,knn,all,A04,142,3,0.0,0.0,0.0,0.0,0.0,0.0
loso,knn,all,A05,142,3,0.6666666666666666,,0.0,0.0,0.0,
loso,knn,all,A06,142,3,0.6666666666666666,0.75,1.0,0.5,0.6666666666666666,1.0
loso,knn,all,A07,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
loso,knn,all,A08,142,3,0.3333333333333333,,0.0,0.0,0.0,
loso,knn,all,A09,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
loso,knn,all,A10,142,3,0.6666666666666666,,0.0,0.0,0.0,
loso,knn,all,A11,142,3,1.0,,0.0,0.0,0.0,
loso,knn,all,A12,142,3,0.6666666666666666,0.75,0.5,1.0,0.6666666666666666,0.75
loso,knn,all,A13,142,3,0.6666666666666666,0.75,1.0,0.5,0.6666666666666666,0.75
loso,knn,all,A14,142,3,0.6666666666666666,,0.0,0.0,0.0,
loso,knn,all,A15,142,3,0.3333333333333333,0.5,0.0,0.0,0.0,0.5
loso,knn,all,A16,142,3,0.3333333333333333,,0.0,0.0,0.0,
loso,knn,all,A17,142,3,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,1.0
loso,knn,all,A19,142,3,0.6666666666666666,0.75,0.5,1.0,0.6666666666666666,0.75
loso,knn,all,A20,142,3,0.3333333333333333,,1.0,0.3333333333333333,0.5,
loso,knn,all,A21,142,3,0.6666666666666666,0.5,0.0,0.0,0.0,0.5
loso,knn,all,A22,142,3,0.6666666666666666,0.5,0.6666666666666666,1.0,0.8,0.5
