Delta_Abs_mean,Delta_Abs_std,Delta_Abs_median,Theta_Abs_mean,Theta_Abs_std,Theta_Abs_median,Alpha_Abs_mean,Alpha_Abs_std,Alpha_Abs_median,Beta_Abs_mean,Beta_Abs_std,Beta_Abs_median,Gamma_Abs_mean,Gamma_Abs_std,Gamma_Abs_median,Delta_Rel,Theta_Rel,Alpha_Rel,Beta_Rel,Gamma_Rel,AlphaPeakFreq_mean,AlphaPeakFreq_std,AlphaPeakAmp_mean,AlphaPeakAmp_std,AlphaTheta_ratio,Index2,BrainbeatIndex,User,Task
3.222782994622444e-08,2.6344382434608155e-07,1.2863499130769796e-11,2.6633960240330115e-09,2.1708155882235555e-08,5.0348769495021894e-12,3.2445126028088167e-10,2.59564432744135e-09,4.253466848848287e-12,3.957064354278024e-11,2.874328459006639e-10,2.9286092294431424e-12,6.714416223685898e-12,3.307300703846977e-11,2.6269589539506442e-12,0.9139545235615364,0.07553170189437332,0.009201168601911803,0.0011221906261300104,0.000190415274343708,11.115579044117647,0.9769847973170351,4.778651388603412e-10,3.838768005147756e-09,0.1218186319924142,7.316581736695507,8.208924846386255,18,1
3.461938456156245e-11,6.817463341731261e-11,1.0592904552510214e-11,1.02640984597482e-11,4.526893198809343e-11,2.7789491590567124e-12,5.941730402952968e-12,2.6748083556911286e-11,2.5676192831527562e-12,3.0104224688413025e-12,1.5653691881845425e-11,9.993507244017253e-13,1.4741458823066703e-12,4.146365511546435e-12,8.067008271857093e-13,0.6259179213844819,0.18557473664463392,0.10742639103332038,0.05442839028046682,0.026652534068885278,9.507123161764707,0.6180329386302278,7.835409606434839e-12,3.69586811450235e-11,0.5788846994164262,1.1465506588905097,1.727459043625763,16,4
9.892082431539562e-07,5.394222646807071e-06,2.586271068080153e-11,1.3282492804170073e-07,6.258318255254926e-07,1.488711592274551e-11,4.543254581457397e-08,2.649536633766615e-07,1.546821394856128e-11,3.5533774030904427e-07,1.9647468202637297e-06,2.5564615331861073e-10,6.430379676175893e-07,3.7050362789320325e-06,6.036962659224618e-10,0.4567316109867649,0.061327171284242324,0.020976856981054143,0.16406452301518856,0.29689983773207107,10.110294117647058,0.9731775244771034,7.992883790815537e-08,4.5807565480021563e-07,0.3420483374913426,0.33142409165594494,2.9235633983511766,2,1
6.657372587604819e-11,3.688711877078419e-10,1.7527022446426126e-11,3.280208177863052e-11,1.677303462686281e-10,1.2604378791185415e-11,4.036592376375772e-11,2.3796621592328716e-10,1.1922185718424829e-11,3.265729694093006e-11,1.789075148151282e-10,1.1392692948058513e-11,1.3461670869797482e-11,2.4945769677238487e-11,1.0959124226880577e-11,0.35819151453428766,0.1764874535344644,0.2171837489678179,0.17570845702172477,0.07242881802939113,8.803423713235293,0.11755159656296602,4.280448037433752e-11,2.4997096320461117e-10,1.2305902480970965,0.44920068988323203,0.8126181076786113,20,4
7.217356715129511e-10,4.441374151587114e-09,8.726286183935674e-12,9.289363483947711e-11,5.028204321050881e-10,2.9333073468827402e-12,5.891232846020913e-11,3.4971446707502254e-10,2.5392403103845888e-12,2.2086042023448827e-11,1.424289180292353e-10,1.186363441626339e-12,2.9008903928238903e-12,1.1014647012976228e-11,1.0994790985260324e-12,0.8032417628719012,0.10338417505625716,0.06556533705486622,0.024580233498213044,0.0032284898820997394,9.751263786764707,0.45843548079941315,6.954172591749905e-11,4.111295400182625e-10,0.6341912191225716,1.146858049096965,1.5768114238326107,14,4
2.6961947006215783e-10,1.908189840056576e-09,1.2895848408615199e-11,2.902843330862401e-11,1.5558719978211775e-10,3.042397432518609e-12,7.621640549143471e-12,3.153637138372992e-11,2.156177917231914e-12,3.226187395796887e-12,1.5647299935214046e-11,9.979337838988435e-13,1.502842754078427e-12,4.385446086413209e-12,7.732246674382954e-13,0.8669476044823327,0.09333944137263145,0.024506995042984255,0.01037364042645883,0.004832313946991875,9.018841911764707,0.5327216507063249,1.0625168737316172e-11,4.593427485969539e-11,0.2625577509470631,2.675966978893492,3.80868495705678,16,1
8.495474466619223e-07,3.343987598382963e-07,8.301243952413609e-07,1.3572470064392808e-07,5.4493417596477684e-08,1.324233932676692e-07,4.611913770425094e-08,1.3672811652238837e-08,4.6574038657958725e-08,1.287179064550367e-08,3.9239308135777855e-09,1.3012651511448021e-08,3.994585366348013e-09,1.2055527308783788e-09,4.031046375363506e-09,0.8104376225903287,0.12947646908816174,0.043995993942199656,0.012279224015340671,0.003810690362566071,8.803423713235293,0.11755159656296602,5.9497834089246834e-08,1.7832494327685604e-08,0.33979914845967624,2.3007724142912087,2.9429149675339685,18,4
4.887803649377489e-08,3.9254465367822964e-07,8.94760712621032e-12,4.239556219655204e-09,2.8595802273505013e-08,3.668985024486507e-12,2.1387122178079965e-09,1.2790640050030886e-08,3.2905532152395743e-12,1.1688972771175208e-08,9.484631689570538e-08,2.086161167384623e-12,8.031516142426957e-09,6.559479550201239e-08,2.0232141097582704e-12,0.6519088638808193,0.05654491212768505,0.0285249889744816,0.15590120851440428,0.10712002648299614,9.851792279411764,1.0557201257748798,2.7461452257419444e-09,1.593255127041918e-08,0.5044660587706684,0.30659913229018904,1.982293915674761,2,4
9.819441719595012e-09,7.970367078455114e-08,3.1797000464715286e-11,8.757449829363823e-10,6.857788614196757e-09,1.7421268284173067e-11,1.644088823409921e-10,9.915420876221213e-10,1.603486629633099e-11,5.960823955577553e-11,2.559448366249657e-10,1.5843084783822038e-11,2.1196344175625202e-11,3.9994832541858606e-11,1.5079463705994696e-11,0.8975395384946194,0.08004688762042135,0.015027684525718257,0.005448451485241265,0.001937437739581431,10.541130514705882,1.4167466055995546,2.651216933702956e-10,1.776351083250065e-09,0.1877360250625073,3.9092769774580423,5.326628115424857,20,1
3.0831728751056665e-10,2.074639559198359e-09,9.529706811047831e-12,7.346429227736093e-11,4.2803519981013514e-10,4.096352147836945e-12,4.4265649381856396e-11,2.544864356289452e-10,4.035417300578323e-12,2.6011447279366042e-11,1.8153855061487828e-10,3.600593601731734e-12,6.864031487988609e-12,2.5903772720774973e-11,3.7504300818190365e-12,0.6718283518993264,0.1600798800568661,0.09645556533688306,0.05667936396726958,0.0149568355352193,9.937959558823529,1.1227493270733035,5.4072738166610465e-11,2.945562874603254e-10,0.6025464497586913,1.0453518177368737,1.6596230002863217,20,3
3.60934808315988e-11,6.359229318452325e-11,1.5020731523252098e-11,1.0761636284234357e-11,4.409285298585448e-11,3.5658107393704365e-12,5.876886722500455e-12,2.6979107091460664e-11,2.516244306758294e-12,3.1770894623019317e-12,1.5398245629712313e-11,1.2031203179019591e-12,1.6914501181318347e-12,4.153024916186829e-12,1.0596383545606356e-12,0.6266170033795766,0.18683219585693664,0.1020283182006232,0.05515728138344482,0.02936517564861455,9.291704963235293,0.4880700099944401,7.707664842298103e-12,3.7641710151261055e-11,0.546095943423375,1.1886086639309317,1.831179347071841,16,2
3.12528696922429e-11,6.361950969663361e-11,1.004517793227933e-11,1.0299037220080959e-11,4.663102217329898e-11,3.112273930215381e-12,5.782908383079025e-12,2.70416663909895e-11,2.441699404308988e-12,3.092315210529448e-12,1.5636977184427828e-11,1.077996580889936e-12,1.5304683287366265e-12,4.204137692776043e-12,8.970713210440842e-13,0.601507181021227,0.19822003247980788,0.111300528683075,0.05951612838856532,0.02945610112370355,9.349149816176471,1.050137634106845,7.545537365429424e-12,3.705478992099135e-11,0.5614998211744044,1.1604254704061543,1.7809437602679858,16,3
1.3646254619685252e-09,1.029970525608766e-08,6.008135554952162e-11,8.20799020042507e-11,3.8211499694756807e-10,2.0103438738330275e-11,6.234442743504555e-11,2.659123768938596e-10,1.998329375754904e-11,4.006314436194347e-11,1.843690451431853e-10,1.7075133849587626e-11,1.926990115866986e-11,2.541807548673628e-11,1.6904082689723178e-11,0.8700844134213498,0.052334098534281594,0.039750771245804783,0.025544237912497957,0.012286477948419937,9.708180147058824,0.3700625783181619,7.238916679196498e-11,3.0797634501619186e-10,0.7595577576934753,0.8015022657532067,1.3165555197961483,20,2
8.297146118997533e-09,6.772293822097985e-08,5.675891430874849e-12,5.69230949622188e-10,4.544746079548083e-09,2.779472363600959e-12,6.370919519285445e-11,4.484476993671082e-10,1.6212491555676193e-12,1.1000514373954493e-11,6.160026542291163e-11,7.091149542579413e-13,1.9964951363234202e-12,9.496192381612825e-12,5.527231528056912e-13,0.9277724319512357,0.06365041363604385,0.007123851275367436,0.0012300583630882685,0.00022324460982608188,9.148092830882353,0.9004148575032878,9.019180352293186e-11,6.460501031453219e-10,0.11192152336507573,7.619236398026626,8.934831695167514,13,2
1.6546646100705715e-08,1.3507264167999196e-07,5.745580853155692e-12,7.515341826360039e-10,6.025801082462333e-09,2.02806973440275e-12,1.8341948675209327e-10,1.3671331172229939e-09,1.0703477999697103e-12,2.5074995178298812e-11,1.5523043065885416e-10,7.31024469378299e-13,3.456698139619375e-12,1.9383473687526004e-11,6.11053672357247e-13,0.9449755493778597,0.04291996231685944,0.010475049094859893,0.0014320278079344125,0.00019741131850163447,9.392233455882353,1.0052849264705883,2.631495081069789e-10,1.9976226621329558e-09,0.24406007155900494,3.6045758639601027,4.097351867668497,9,3
8.606702856303578e-07,4.8983082271814985e-06,3.04751837473982e-11,1.2503131159908824e-07,6.900445171788344e-07,1.9488148851878312e-11,2.9162727612997423e-08,1.5472428485449398e-07,2.0611058729581288e-11,2.1437796365369152e-07,1.0776233182288437e-06,4.642648826915616e-10,2.7921286131875986e-07,1.3053173519905336e-06,9.84176674237272e-10,0.5705640540490269,0.08288699310304926,0.019332843682192076,0.14211755893424421,0.18509855023051255,9.866153492647058,1.0343065016102275,5.6990839003106773e-08,3.1589189481367334e-07,0.23324339511181358,0.5133898197793068,4.287366848945178,5,3
6.2898669999261e-08,5.124199783408264e-07,1.2301826988181252e-11,8.20793580991926e-09,6.567510650349657e-08,4.372787453089311e-12,9.297248741211762e-10,6.312802571663805e-09,3.232074547638545e-12,1.7537789410222759e-10,1.0834678210902642e-09,2.6926557297315417e-12,9.232431045196993e-11,7.079301892776005e-10,2.8406976579152582e-12,0.8699192491176564,0.1135197510003753,0.012858547953255667,0.0024255617161863382,0.001276890192187318,10.397518382352942,0.7058941709239721,1.7744612886873498e-09,1.3130704246254587e-08,0.11327146014361265,7.427305437115207,8.828349144358386,5,2
5.127520093846806e-08,4.193161150530677e-07,6.945074717533981e-12,2.341018610621245e-09,1.9025349415269396e-08,2.6730523428659634e-12,3.5291254753891135e-10,2.7426622368964413e-09,1.6002383431806008e-12,5.336616257631188e-11,3.761120259902051e-10,1.2784637527140977e-12,5.1403562216644265e-12,2.9544584318367076e-11,1.04159741502725e-12,0.949055006865173,0.04333001905230608,0.006532074260016619,0.0009877567101298774,9.514308515524895e-05,8.932674632352942,0.5365792076134364,5.162902668276586e-10,4.05739646675354e-09,0.15075170514067973,5.7621001146814725,6.633424108016716,9,2
2.294171359251345e-08,1.8759533844430813e-07,5.5772374260226924e-12,5.862531314790419e-09,4.78771953105575e-08,2.7876221923803364e-12,5.483615733189101e-10,4.418246330446218e-09,1.4921142685683596e-12,1.3432793284857738e-10,1.0674300168937488e-09,6.540810459648286e-13,1.045522393259308e-11,7.988087634833632e-11,4.633426058716544e-13,0.7777540275048144,0.19874746160806733,0.0185901728943576,0.004553892208534513,0.0003544457343714973,8.947035845588236,0.640162255515357,7.605260920825213e-10,6.134446902380874e-09,0.09353665571012129,8.587405034351882,10.690995839817719,13,3
