threshold,feature_engineering,model,precision,precision_lower,precision_upper,recall,recall_lower,recall_upper,f1_score,f1_lower,f1_upper
threshold_4,hrv,rule,0.4736842105263157,0.24917252812819013,0.6981958929244413,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.6,0.344660312060819,0.855339687939181
threshold_4,non_intrusive,logreg,0.5263157894736842,0.3018041070755586,0.7508274718718098,0.9090909090909092,0.7392043331338485,1.0789774850479699,0.6666666666666666,0.4503700511261074,0.8829632822072259
threshold_4,non_intrusive,rf,0.4545454545454545,0.2464777419237667,0.6626131671671422,0.9090909090909092,0.7392043331338485,1.0789774850479699,0.6060606060606061,0.38631598642605747,0.8258052256951547
threshold_4,non_intrusive,svm,0.5625,0.31942606491861436,0.8055739350813856,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.6666666666666666,0.41841116230421316,0.9149221710291201
threshold_4,non_intrusive,knn,0.4090909090909091,0.2036405045896507,0.6145413135921676,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.5454545454545454,0.29020943083132694,0.8006996600777638
threshold_4,non_intrusive,gb,0.375,0.1813140524048245,0.5686859475951755,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.5142857142857142,0.26134862972867473,0.7672227988427538
threshold_4,non_intrusive,nb,0.5625,0.31942606491861436,0.8055739350813856,0.8181818181818182,0.5902550587990167,1.0461085775646197,0.6666666666666666,0.41841116230421316,0.9149221710291201
threshold_4,non_intrusive,mlp,0.5,0.19010248384771922,0.8098975161522808,0.4545454545454545,0.16029327346391603,0.748797635626993,0.4761904761904761,0.029095533061830103,0.9232854193191221
threshold_4,non_intrusive,rule,0.4210526315789473,0.19904953833410985,0.6430557248237847,0.7272727272727273,0.4640855755023683,0.9904598790430863,0.5333333333333333,0.23632151679213825,0.8303451498745285
threshold_5,pca,logreg,0.1111111111111111,-0.09420797397773004,0.3164301961999523,0.25,-0.17434465027856438,0.6743446502785644,0.1538461538461538,-0.9151315284609787,1.2228238361532862
threshold_5,pca,rf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,pca,svm,0.0,,,0.0,0.0,0.0,0.0,,
threshold_5,pca,knn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,pca,gb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,pca,nb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,pca,mlp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,pca,rule,0.1428571428571428,-0.11636772167392578,0.40208200738821137,0.25,-0.17434465027856438,0.6743446502785644,0.1818181818181818,-0.9681292533428875,1.331765616979251
threshold_5,ica,logreg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,ica,rf,0.15,-0.006490574738305083,0.3064905747383051,0.75,0.3256553497214356,1.1743446502785644,0.25,-0.07967142510061248,0.5796714251006125
threshold_5,ica,svm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,ica,knn,0.1428571428571428,-0.11636772167392578,0.40208200738821137,0.25,-0.17434465027856438,0.6743446502785644,0.1818181818181818,-0.9681292533428875,1.331765616979251
threshold_5,ica,gb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,ica,nb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,ica,mlp,0.1666666666666666,-0.13153235728619286,0.4648656906195261,0.25,-0.17434465027856438,0.6743446502785644,0.2,-0.9837922865896775,1.3837922865896775
threshold_5,ica,rule,0.2142857142857142,-0.0006521887093513812,0.42922361728077973,0.75,0.3256553497214356,1.1743446502785644,0.3333333333333333,-0.06475592523324875,0.7314225918999153
threshold_5,mi,logreg,0.1666666666666666,-0.13153235728619286,0.4648656906195261,0.25,-0.17434465027856438,0.6743446502785644,0.2,-0.9837922865896775,1.3837922865896775
threshold_5,mi,rf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,mi,svm,0.0,,,0.0,0.0,0.0,0.0,,
threshold_5,mi,knn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,mi,gb,0.5,-0.19295191217483898,1.192951912174839,0.25,-0.17434465027856438,0.6743446502785644,0.3333333333333333,-0.640580600640646,1.3072472673073128
threshold_5,mi,nb,0.1666666666666666,-0.13153235728619286,0.4648656906195261,0.25,-0.17434465027856438,0.6743446502785644,0.2,-0.9837922865896775,1.3837922865896775
threshold_5,mi,mlp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,mi,rule,0.4,-0.029406594492117688,0.8294065944921177,0.5,0.010009003864986488,0.9899909961350135,0.4444444444444444,-0.2733571326868117,1.1622460215757004
threshold_5,anova,logreg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,anova,rf,0.0,,,0.0,0.0,0.0,0.0,,
threshold_5,anova,svm,0.0,,,0.0,0.0,0.0,0.0,,
threshold_5,anova,knn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,anova,gb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,anova,nb,0.1666666666666666,-0.13153235728619286,0.4648656906195261,0.25,-0.17434465027856438,0.6743446502785644,0.2,-0.9837922865896775,1.3837922865896775
threshold_5,anova,mlp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,anova,rule,0.5,-0.19295191217483898,1.192951912174839,0.25,-0.17434465027856438,0.6743446502785644,0.3333333333333333,-0.640580600640646,1.3072472673073128
threshold_5,rfe,logreg,0.2,-0.15060901623063266,0.5506090162306327,0.25,-0.17434465027856438,0.6743446502785644,0.2222222222222222,-0.9827829542319809,1.4272273986764255
threshold_5,rfe,rf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,rfe,svm,0.0,,,0.0,0.0,0.0,0.0,,
threshold_5,rfe,knn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,rfe,gb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
threshold_5,rfe,nb,0.1666666666666666,-0.13153235728619286,0.4648656906195261,0.25,-0.17434465027856438,0.6743446502785644,0.2,-0.9837922865896775,1.3837922865896775
threshold_5,rfe,mlp,0.0,,,0.0,0.0,0.0,0.0,,
threshold_5,rfe,rule,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
